 20.01        16     4169.     2.090     2.090     2.090     2.090     2.090     2.090     2.090
 20.01        17     4365.     2.111     2.111     2.111     2.111     2.111     2.111     2.111
 20.01        18     4571.     2.137     2.137     2.137     2.137     2.137     2.137     2.137
 20.01        19     4786.     2.166     2.166     2.166     2.166     2.166     2.166     2.166
 20.01        20     5012.     2.201     2.201     2.201     2.201     2.201     2.201     2.201
 20.01        21     5370.     2.262     2.262     2.262     2.262     2.262     2.262     2.262
 20.01        22     5754.     2.337     2.337     2.337     2.337     2.337     2.337     2.337
 20.01        23     6166.     2.426     2.426     2.426     2.426     2.426     2.426     2.426
 20.01        24     6607.     2.532     2.532     2.532     2.532     2.532     2.532     2.532
 20.01        25     7079.     2.654     2.654     2.654     2.654     2.654     2.654     2.654
 20.01        26     7586.     2.795     2.795     2.795     2.795     2.795     2.795     2.795
 20.01        27     8128.     2.956     2.956     2.956     2.956     2.955     2.955     2.955
 20.01        28     8710.     3.136     3.136     3.136     3.136     3.136     3.136     3.135
 20.01        29     9333.     3.337     3.337     3.337     3.337     3.337     3.337     3.336
 20.01        30    10000.     3.561     3.561     3.561     3.561     3.560     3.559     3.557
 20.01        31    11220.     3.986     3.986     3.986     3.985     3.982     3.979     3.974
 20.01        32    12589.     4.487     4.487     4.487     4.486     4.476     4.465     4.450
 20.01        33    14125.     5.091     5.091     5.090     5.087     5.055     5.024     4.988
 20.01        34    15849.     5.845     5.845     5.843     5.835     5.749     5.668     5.587
 20.01        35    17783.     6.839     6.839     6.834     6.812     6.603     6.418     6.251
 20.01        36    19953.     8.210     8.210     8.199     8.150     7.690     7.298     6.981
 20.01        37    22387.    10.161    10.161    10.137    10.036     9.104     8.342     7.778
 20.01        38    25119.    12.952    12.952    12.906    12.712    10.968     9.588     8.644
 20.01        39    28184.    16.896    16.896    16.813    16.467    13.414    11.073     9.579
 20.01        40    31623.    22.330    22.330    22.190    21.610    16.582    12.830    10.579
 20.01        41    35481.    29.582    29.582    29.360    28.441    20.599    14.885    11.641
 20.01        42    39811.    38.941    38.941    38.605    37.219    25.564    17.251    12.756
 20.01        43    44668.    50.615    50.615    50.129    48.131    31.540    19.929    13.915
 20.01        44    50119.    64.715    64.715    64.040    61.273    38.543    22.903    15.106
 20.01        45    56234.    81.239    81.239    80.334    76.633    46.543    26.147    16.318
 20.01        46    63096.   100.071   100.071    98.896    94.102    55.463    29.620    17.537
 20.01        47    70795.   120.997   120.997   119.513   113.476    65.190    33.278    18.750
 20.01        48    79433.   143.719   143.719   141.894   134.478    75.583    37.068    19.947
 20.01        49    89125.   167.885   167.885   165.689   156.781    86.480    40.937    21.115
 20.01        50   100000.   193.110   193.110   190.520   180.032    97.715    44.833    22.246
 20.01        51   112202.   219.001   219.001   216.001   203.870   109.124    48.709    23.333
 20.01        52   125893.   245.178   245.178   241.759   227.946   120.549    52.521    24.369
 20.01        53   141254.   271.290   271.290   267.447   251.942   131.852    56.232    25.351
 20.01        54   158489.   297.023   297.023   292.759   275.570   142.909    59.812    26.274
